ID,location,profile_HWD,household_size,heater_type,has_solar,control_type,tariff_type,new_system,old_heater,ID,net_present_cost,payback_period,LCOHW,capital_cost,annual_energy_cost,daily_supply_cost,oandm_cost,others_cost,rebates,disconnection_costs,solar_ratio_real,annual_fit_opp_cost,emissions_total,annual_energy_consumption
91,800,1,4,resistive,TRUE,GS,flat,TRUE,none,91,6314.313534,,0.420723056,1350,594.6858668,0,200,,0,0,0.093805311,19.99296485,1.705644168,2334.42
92,800,1,4,resistive,TRUE,GS,tou,TRUE,none,92,6757.168328,,0.450230495,1350,665.5779333,0,200,,0,0,0.093805311,19.99296485,1.705644168,2334.42
93,800,1,4,resistive,TRUE,CL1,CL,TRUE,none,93,6204.616703,,0.413401639,1350,577.12563,0,200,,0,0,0,0,1.601998449,2196.9
94,800,1,4,resistive,TRUE,CL2,CL,TRUE,none,94,6193.558133,,0.412670002,1350,575.3553774,0,200,,0,0,0.054505955,11.77993534,1.693860976,2316.42
95,800,1,4,resistive,TRUE,CL3,CL,TRUE,none,95,5365.169966,,0.357470414,1350,442.7472405,0,200,,0,0,0.263379898,56.22332068,1.669299544,2287.98
96,800,1,4,resistive,TRUE,timer_SS,flat,TRUE,none,96,4737.624559,,0.315653179,1350,342.2899542,0,200,,0,0,0.448742409,90.49411853,1.612979931,2208.78
97,800,1,4,resistive,TRUE,diverter,tou,TRUE,none,97,5333.284888,,0.355342959,2450,261.5554063,0,200,,0,0,0.55283467,115.8235456,1.673334491,2294.725844
98,800,1,4,resistive,TRUE,diverter,CL,TRUE,none,98,5383.302475,,0.358675501,2450,269.5622071,0,200,,0,0,0.55283467,118.3607536,1.673334491,2294.725844
99,800,1,4,solar_thermal,FALSE,GS,flat,TRUE,none,99,8830.833519,,0.614353687,6740,134.7000217,0,200,,0,0,0.425463356,0,0.351612691,479.16
100,800,1,4,solar_thermal,FALSE,GS,tou,TRUE,none,100,8981.410859,,0.624829227,6740,158.8043984,0,200,,0,0,0.425463356,0,0.351612691,479.16
101,800,1,4,gas_instant,FALSE,GS,gas,TRUE,none,101,6328.483861,,0.248872998,1322,601.4364804,0,200,,0,0,0,0,0.535623019,3789.189034
102,800,1,4,gas_storage,FALSE,GS,gas,TRUE,none,102,7780.214921,,0.518373351,1885,743.70429,0,200,,0,0,0,0,0.662326094,3144.361111
103,800,1,4,standard_heat_pump,FALSE,GS,flat,TRUE,none,103,5486.525697,,0.365545611,2299,310.2581865,0,200,,0,0,0,0,0.806217263,1103.662128
104,800,1,4,standard_heat_pump,FALSE,GS,tou,TRUE,none,104,5595.376978,,0.372797943,2299,327.6830679,0,200,,0,0,0,0,0.806217263,1103.662128
105,800,1,4,standard_heat_pump,FALSE,CL1,CL,TRUE,none,105,5144.594056,,0.342768129,2299,255.5218689,0,200,,0,0,0,0,0.7093038,972.6755572
106,800,1,4,standard_heat_pump,FALSE,CL2,CL,TRUE,none,106,5364.405595,,0.357412281,2299,290.7092362,0,200,,0,0,0,0,0.808436024,1106.620617
107,800,1,4,standard_heat_pump,FALSE,timer_OP,tou,TRUE,none,107,5075.18854,,0.338143759,2299,244.4114541,0,200,,0,0,0,0,0.705361721,966.6212977
108,800,1,4,standard_heat_pump,FALSE,CL3,CL,TRUE,none,108,5264.542802,,0.350762806,2299,274.7232293,0,200,,0,0,0,0,0.76327652,1045.767908
109,800,1,4,standard_heat_pump,TRUE,GS,flat,TRUE,none,109,4834.539728,,0.322106352,2299,205.8884622,0,200,,0,0,0.336396359,33.89676124,0.806217263,1103.662128
110,800,1,4,standard_heat_pump,TRUE,GS,tou,TRUE,none,110,4832.953802,,0.322000688,2299,205.6345877,0,200,,0,0,0.336396359,33.89676124,0.806217263,1103.662128
